,Class,Precision,Recall,F1-Score,Support
0,anger,0.3939,0.4333,0.4127,90
1,confusion,0.1429,0.36,0.2045,25
2,disappointment,0.1,0.1163,0.1075,43
3,fear,0.0588,0.3333,0.1,3
4,frustration,0.6071,0.3643,0.4554,280
5,joy,0.3034,0.4737,0.3699,57
6,neutral,0.381,0.2667,0.3137,90
7,other,0.0,0.0,0.0,2
8,sadness,0.5,0.4,0.4444,5
9,sarcasm,0.1,0.1818,0.129,11
10,satisfaction,0.2444,0.25,0.2472,44
11,surprise,0.1176,0.2222,0.1538,9
12,suspicion,0.0,0.0,0.0,2
13,trust,0.4,0.5312,0.4564,64
14,worry,0.1667,0.1905,0.1778,21
