Post ID,Post Text,clean_text,sentiment,predicted_sentiment,emotion,is_relevant,severity,Likes,Replies
ihbmasrachmat/DZy0t3VDDo8,WADUH...!!! MBG TIDAK PENTING,waduh...!!! mbg tidak penting,negative,neutral,frustration,True,low,0,0
talikekang/DZzWV8wEkls,Akibat MBG kak,akibat mbg kak,negative,positive,frustration,True,low,0,0
bucketofwhiteroses/DZzxDRokqkj,Bang siap2 bagiin ompreng mbg bang... Kalo di sini... Serius... Foto video buktinya ud byk...,bang siap2 bagiin ompreng mbg bang... kalo di sini... serius... foto video buktinya ud byk...,neutral,neutral,neutral,True,none,0,0
agushar.art/DZymkKmDbap,"Ya iya lah.... Kpn lg ada ksmptan program bancakan bgini... Ya mmng hrs dipaksakan... Kan emng dr awal dah dipaksakan, mskipun brantakan... Intinya... Kalian ga bs mmbuat indonesia mnjdi lbih baik....!!","ya iya lah.... kpn lg ada ksmptan program bancakan bgini... ya mmng hrs dipaksakan... kan emng dr awal dah dipaksakan, mskipun brantakan... intinya... kalian ga bs mmbuat indonesia mnjdi lbih baik....!!",negative,negative,frustration,True,medium,21,39
ftriaaan/DZy0tjGgaXS,#baby #gemoy #mbg #viralreels #reel Terjemahkan | #baby #gemoy #mbg #viralreels #reel,baby gemoy mbg viralreels reel terjemahkan | baby gemoy mbg viralreels reel,neutral,neutral,neutral,True,none,0,0
niswaraya/DZy97d6AQZC,"Aku mendapat pertanyaan dari Arka, teman kecilku yang baru kelas 4 SD. Arka : Miss, Miss tahu lagu MBG yang M B G Mas Bahlil Ganteng (sambil nyanyi dia)? Aku : Iya Miss tahu, memang ada apa? Arka : Miss emang itu lagu anak kecil ya Aku : Bukan lah Ar Arka : loh kenapa banyak anak kecil nyanyi dan nadanya juga kayak lagu anak kecil Aku : 🙈🙈🙈🙈🙈🙈 | Nah lohhhh menghadapi Gen Alpha ini memang harus hati-hati sih 😂","aku mendapat pertanyaan dari arka, teman kecilku yang baru kelas 4 sd. arka : miss, miss tahu lagu mbg yang m b g mas bahlil ganteng (sambil nyanyi dia)? aku : iya miss tahu, memang ada apa? arka : miss emang itu lagu anak kecil ya aku : bukan lah ar arka : loh kenapa banyak anak kecil nyanyi dan nadanya juga kayak lagu anak kecil aku : 🙈🙈🙈🙈🙈🙈 | nah lohhhh menghadapi gen alpha ini memang harus hati-hati sih 😂",neutral,mixed,joy,True,none,1,0
rmut.91/DZzj30kHZnR,"- Ada anggaran besar untuk program baru (seperti MBG, Kopdes, Danantara) → tujuannya baik, tapi banyak yang tanya: ​ - Apakah tepat sasaran? ​ - Harganya wajar? ​ - Tidak ada yang dikorupsi atau mark-up? ​ - Masih ada kebocoran, proyek molor, atau hasil kurang terasa, ini yang bikin orang bilang “terasa sia-sia” ​ - Sebagian belanja juga dipakai bayar bunga utang lama,makin terasa membebani 📌INTINYA Bukan programnya yang nggak bermanfaat, tapi cara pengelolaannya yang harus dijaga ketat 4 / 5 | - Ada anggaran besar untuk program baru (seperti MBG, Kopdes, Danantara) → tujuannya baik, tapi banyak yang tanya: ​ - Apakah tepat sasaran? ​ - Harganya wajar? ​ - Tidak ada yang dikorupsi atau mark-up? ​ - Masih ada kebocoran, proyek molor, atau hasil kurang terasa, ini yang bikin orang bilang “terasa sia-sia” ​ - Sebagian belanja juga dipakai bayar bunga utang lama,makin terasa membebani 📌INTINYA Bukan programnya yang nggak bermanfaat, tapi cara pengelolaannya yang harus dijaga ketat","- ada anggaran besar untuk program baru (seperti mbg, kopdes, danantara) → tujuannya baik, tapi banyak yang tanya: ​ - apakah tepat sasaran? ​ - harganya wajar? ​ - tidak ada yang dikorupsi atau mark-up? ​ - masih ada kebocoran, proyek molor, atau hasil kurang terasa, ini yang bikin orang bilang “terasa sia-sia” ​ - sebagian belanja juga dipakai bayar bunga utang lama,makin terasa membebani 📌intinya bukan programnya yang nggak bermanfaat, tapi cara pengelolaannya yang harus dijaga ketat 4 / 5 | - ada anggaran besar untuk program baru (seperti mbg, kopdes, danantara) → tujuannya baik, tapi banyak yang tanya: ​ - apakah tepat sasaran? ​ - harganya wajar? ​ - tidak ada yang dikorupsi atau mark-up? ​ - masih ada kebocoran, proyek molor, atau hasil kurang terasa, ini yang bikin orang bilang “terasa sia-sia” ​ - sebagian belanja juga dipakai bayar bunga utang lama,makin terasa membebani 📌intinya bukan programnya yang nggak bermanfaat, tapi cara pengelolaannya yang harus dijaga ketat",mixed,mixed,worry,True,medium,0,1
slepet.again/DZzwkzYGSZm,"Membalas @nugrohodelora | @nugrohodelora | bayangkan uang 335 T dibagi kepada setiap keluarga miskin, akan banyak lagi keluarga miskin yg bisa memenuhi kebutuhan gizinya sendiri, bukan melalui makanan berompreng","membalas | | bayangkan uang 335 t dibagi kepada setiap keluarga miskin, akan banyak lagi keluarga miskin yg bisa memenuhi kebutuhan gizinya sendiri, bukan melalui makanan berompreng",negative,negative,frustration,True,medium,0,1
afriwandi_gafar/DZ0A_YQFCBV,"Dana pendidikan sudah banyak terpakai utk MBG, jadi tak ada uang utk beli alat marching band😅","dana pendidikan sudah banyak terpakai utk mbg, jadi tak ada uang utk beli alat marching band😅",negative,negative,disappointment,True,low,0,0
nugrohodelora/DZzxAs6k_TY,"Ternyata pengetahuan anda itu belum cukup paham.... Tujuan MBG apa, Kalau anda ada di hadapan saya, saya siap kok berdiskusi dengan anda.. Kalau cuma ngasih uang, trus fungsinya buat apa.. Apa anda yakin program BLT tidak ada yg korupsi, kemudian dampak ke masyarakat jangka panjang ada? Pernah denger ga program BLT pekerja gaji dibwah 5jt..dampaknya apa? Cuma uang sesaat..","ternyata pengetahuan anda itu belum cukup paham.... tujuan mbg apa, kalau anda ada di hadapan saya, saya siap kok berdiskusi dengan anda.. kalau cuma ngasih uang, trus fungsinya buat apa.. apa anda yakin program blt tidak ada yg korupsi, kemudian dampak ke masyarakat jangka panjang ada? pernah denger ga program blt pekerja gaji dibwah 5jt..dampaknya apa? cuma uang sesaat..",negative,mixed,frustration,True,medium,0,1
