,precision,recall,f1-score,support
anger,0.3939393939393939,0.43333333333333335,0.4126984126984127,90.0
confusion,0.14285714285714285,0.36,0.20454545454545456,25.0
disappointment,0.1,0.11627906976744186,0.10752688172043011,43.0
fear,0.058823529411764705,0.3333333333333333,0.1,3.0
frustration,0.6071428571428571,0.36428571428571427,0.45535714285714285,280.0
joy,0.30337078651685395,0.47368421052631576,0.3698630136986301,57.0
neutral,0.38095238095238093,0.26666666666666666,0.3137254901960784,90.0
other,0.0,0.0,0.0,2.0
sadness,0.5,0.4,0.4444444444444444,5.0
sarcasm,0.1,0.18181818181818182,0.12903225806451613,11.0
satisfaction,0.24444444444444444,0.25,0.24719101123595505,44.0
surprise,0.11764705882352941,0.2222222222222222,0.15384615384615385,9.0
suspicion,0.0,0.0,0.0,2.0
trust,0.4,0.53125,0.4563758389261745,64.0
worry,0.16666666666666666,0.19047619047619047,0.17777777777777778,21.0
accuracy,0.3512064343163539,0.3512064343163539,0.3512064343163539,0.3512064343163539
macro avg,0.23438961738366892,0.27488992816195995,0.23815892533407804,746.0
weighted avg,0.4150062638288896,0.3512064343163539,0.36573943603683484,746.0
